article_id,PY
2,2019
3,2019
4,2019
6,2019
7,2019
8,2019
10,2019
12,2019
13,2019
14,2019
15,2019
18,2019
19,2019
20,2019
21,2019
23,2019
24,2019
25,2019
26,2019
27,2019
28,2019
30,2019
32,2019
35,2019
36,2019
38,2019
40,2019
41,2019
42,2019
43,2019
45,2019
46,2019
47,2019
48,2019
49,2019
50,2019
51,2019
52,2019
56,2019
59,2019
61,2019
62,2019
64,2019
65,2019
67,2019
68,2019
69,2019
70,2019
71,2019
72,2019
73,2019
74,2019
75,2019
76,2019
77,2019
80,2019
81,2019
83,2019
84,2019
85,2019
88,2019
89,2019
90,2019
92,2019
94,2019
95,2019
96,2019
97,2019
100,2019
102,2019
104,2019
106,2019
107,2019
108,2019
109,2019
111,2019
112,2019
113,2019
114,2019
115,2019
117,2018
118,2019
119,2018
120,2018
123,2018
124,2019
125,2019
126,2018
130,2019
131,2018
132,2018
133,2018
134,2018
135,2018
136,2018
137,2019
141,2018
142,2019
143,2019
144,2018
148,2018
149,2019
151,2018
154,2018
156,2018
157,2018
158,2018
160,2018
161,2018
162,2018
163,2018
165,2018
166,2018
167,2018
172,2018
173,2018
174,2018
175,2018
179,2018
180,2018
182,2018
184,2018
185,2018
186,2018
187,2018
188,2018
189,2018
192,2018
193,2018
194,2018
195,2018
196,2018
199,2018
200,2018
201,2018
203,2018
205,2018
206,2018
207,2018
208,2018
209,2018
210,2018
211,2018
212,2018
214,2018
215,2018
216,2018
218,2018
219,2018
221,2018
222,2018
223,2018
225,2018
228,2018
229,2018
230,2018
233,2018
234,2018
235,2018
236,2018
237,2018
238,2018
242,2018
243,2017
246,2018
247,2018
248,2018
249,2018
250,2018
251,2018
252,2018
253,2018
255,2018
256,2018
258,2018
259,2018
260,2017
261,2017
262,2017
264,2017
265,2017
268,2017
269,2018
271,2017
272,2017
273,2017
275,2017
276,2017
277,2017
279,2017
280,2017
281,2017
282,2017
284,2017
285,2017
286,2017
287,2017
290,2018
292,2017
293,2018
294,2017
295,2017
296,2017
297,2017
298,2017
301,2017
302,2017
304,2017
305,2017
306,2017
307,2017
308,2017
309,2017
310,2017
311,2017
312,2017
313,2017
314,2017
315,2017
317,2017
318,2017
320,2017
323,2017
324,2017
326,2017
327,2017
328,2017
329,2017
330,2017
331,2017
332,2017
333,2017
337,2017
338,2017
339,2017
340,2017
341,2017
342,2019
343,2019
345,2019
353,2019
354,2019
357,2019
358,2019
359,2019
361,2019
362,2019
366,2019
367,2019
368,2019
374,2019
376,2019
377,2019
378,2019
379,2019
380,2019
381,2019
382,2018
384,2019
388,2019
389,2019
390,2019
393,2019
394,2019
395,2019
399,2019
401,2019
402,2019
403,2019
406,2018
407,2019
408,2019
410,2019
413,2019
414,2018
419,2018
420,2018
421,2019
422,2018
423,2019
425,2019
426,2019
428,2018
429,2018
431,2018
432,2018
433,2019
434,2018
437,2018
438,2018
439,2018
440,2018
442,2018
444,2018
445,2018
447,2018
448,2018
450,2018
451,2018
452,2018
454,2018
455,2018
457,2017
460,2018
461,2018
463,2018
466,2018
467,2017
469,2018
470,2018
472,2018
474,2018
475,2018
477,2018
479,2018
481,2018
483,2018
485,2018
487,2018
488,2018
491,2018
494,2018
495,2018
497,2018
498,2018
500,2018
502,2018
504,2018
505,2018
506,2018
507,2018
508,2018
509,2018
510,2018
511,2018
513,2018
514,2018
516,2018
517,2018
518,2018
519,2018
520,2018
522,2018
524,2017
525,2018
526,2018
527,2017
531,2017
532,2017
533,2017
535,2018
536,2018
537,2018
539,2017
540,2017
541,2017
543,2017
544,2017
545,2017
547,2017
548,2017
549,2017
550,2017
551,2017
552,2017
554,2017
555,2017
556,2017
559,2017
560,2017
562,2017
563,2017
567,2017
568,2017
569,2017
570,2017
571,2017
572,2017
574,2017
575,2017
576,2017
577,2017
578,2017
579,2017
580,2017
583,2017
584,2017
586,2017
589,2017
590,2017
591,2017
596,2017
600,2017
601,2017
602,2017
603,2017
605,2017
606,2017
607,2017
608,2017
610,2017
611,2017
612,2017
613,2017
614,2017
617,2017
619,2017
622,2017
623,2017
624,2017
625,2017
626,2017
627,2017
630,2017
631,2017
632,2017
633,2017
634,2017
635,2017
636,2017
638,2017
639,2017
640,2017
641,2017
643,2017
644,2017
645,2017
646,2017
647,2017
648,2017
650,2017
651,2016
652,2016
653,2017
654,2017
655,2017
656,2017
657,2017
659,2016
660,2016
663,2017
664,2016
665,2017
667,2017
668,2017
669,2016
670,2016
671,2016
672,2016
673,2016
674,2016
676,2016
677,2016
678,2016
679,2016
680,2016
682,2016
684,2016
687,2016
688,2016
689,2016
690,2016
691,2016
692,2016
693,2016
694,2016
695,2016
696,2016
697,2016
698,2016
699,2016
700,2016
701,2016
702,2016
703,2016
705,2016
706,2016
707,2016
708,2016
709,2016
710,2016
711,2016
712,2016
713,2016
714,2016
715,2016
716,2016
717,2016
718,2016
719,2016
720,2016
721,2016
722,2016
723,2016
724,2016
725,2016
727,2016
728,2016
729,2016
730,2016
731,2016
732,2016
733,2016
734,2016
735,2016
736,2016
737,2016
738,2016
739,2016
740,2016
741,2016
742,2016
743,2016
744,2016
745,2016
746,2016
747,2019
748,2019
749,2019
750,2019
751,2019
753,2019
754,2019
755,2019
756,2019
758,2019
759,2019
760,2019
762,2019
763,2019
764,2019
765,2019
766,2019
768,2019
769,2019
771,2019
773,2019
775,2019
777,2019
778,2019
779,2019
780,2019
781,2019
782,2019
783,2019
784,2019
785,2019
786,2019
788,2019
789,2019
791,2019
792,2019
794,2019
795,2019
796,2019
797,2019
799,2019
800,2019
801,2019
803,2019
805,2019
806,2019
807,2019
809,2019
810,2019
811,2019
812,2019
813,2019
814,2019
817,2019
818,2019
819,2019
820,2019
822,2019
823,2019
824,2019
825,2019
826,2019
827,2019
828,2019
829,2019
830,2019
831,2019
832,2019
833,2019
834,2019
836,2019
837,2019
840,2019
841,2019
842,2019
843,2019
845,2019
846,2019
847,2019
848,2019
849,2019
850,2019
853,2019
855,2019
857,2019
858,2019
859,2019
860,2019
861,2019
862,2019
865,2019
866,2019
867,2019
868,2019
870,2019
871,2019
872,2019
873,2019
875,2019
876,2019
877,2019
878,2019
880,2019
882,2019
883,2019
884,2019
885,2019
886,2019
887,2019
888,2019
889,2019
890,2019
891,2019
892,2019
893,2019
897,2019
898,2019
899,2019
900,2019
901,2019
902,2019
903,2019
904,2019
905,2019
906,2019
907,2019
908,2019
909,2019
910,2019
911,2019
913,2019
914,2019
916,2019
