article_id,PY
1,2015
2,2013
3,2013
4,2013
5,2010
6,2010
7,2009
8,2009
9,2009
10,2008
11,2007
12,2006
13,2006
14,2005
15,2005
16,2005
17,2004
18,2004
19,2002
20,2002
21,2001
22,2000
24,2019
25,2019
26,2019
27,2019
28,2019
29,2019
31,2019
32,2019
33,2019
34,2019
35,2019
37,2019
38,2019
39,2019
40,2019
41,2019
42,2019
43,2019
44,2019
45,2019
48,2019
49,2019
50,2019
52,2019
53,2019
54,2019
55,2019
57,2019
59,2019
60,2019
61,2019
62,2019
63,2019
64,2019
65,2019
66,2019
67,2019
68,2019
70,2019
71,2019
73,2019
74,2019
75,2019
77,2019
78,2019
79,2019
80,2019
82,2019
83,2019
84,2019
85,2019
86,2019
88,2019
90,2019
91,2019
92,2019
93,2019
94,2019
95,2019
96,2019
97,2019
98,2019
99,2019
100,2019
103,2019
104,2019
105,2019
106,2019
109,2019
110,2019
111,2019
112,2019
113,2019
114,2019
115,2019
116,2019
117,2019
118,2019
119,2019
120,2019
121,2019
122,2019
123,2019
125,2019
126,2019
127,2019
131,2019
132,2019
133,2019
134,2019
135,2019
137,2019
138,2019
139,2019
140,2019
141,2019
142,2019
145,2019
147,2019
148,2019
150,2019
151,2019
152,2019
153,2019
154,2019
155,2019
156,2019
159,2019
160,2019
161,2019
162,2019
163,2019
165,2019
166,2019
167,2019
168,2019
169,2019
170,2019
172,2019
173,2019
175,2019
177,2019
178,2019
179,2019
180,2019
181,2019
182,2019
183,2019
184,2019
185,2019
186,2019
187,2019
188,2019
189,2019
191,2019
193,2019
194,2019
195,2019
196,2019
197,2019
198,2019
199,2019
200,2019
201,2019
202,2019
203,2019
204,2019
205,2019
206,2019
207,2019
208,2019
210,2019
211,2019
212,2019
214,2019
216,2019
217,2019
218,2019
219,2019
222,2019
223,2019
224,2019
226,2019
228,2019
229,2019
230,2019
231,2019
232,2019
233,2019
235,2019
236,2019
237,2019
238,2019
239,2019
240,2018
242,2019
243,2019
244,2019
245,2019
246,2019
247,2019
248,2019
249,2019
250,2018
252,2019
253,2019
255,2019
256,2019
257,2018
258,2018
259,2018
